date,Belegte Betten,COVID-19-Fälle
2020-03-20T12:15:00+01:00,576,200
2020-03-21T12:15:00+01:00,2828,308
2020-03-22T12:15:00+01:00,3255,364
2020-03-23T12:15:00+01:00,3778,451
2020-03-24T12:15:00+01:00,4856,616
2020-03-25T12:15:00+01:00,5471,789
2020-03-26T12:15:00+01:00,5960,824
2020-03-27T12:15:00+01:00,6274,905
2020-03-28T12:15:00+01:00,6738,1001
2020-03-29T12:15:00+02:00,6724,1063
2020-03-30T12:15:00+02:00,7069,1203
2020-03-31T12:15:00+02:00,8392,1550
2020-04-01T12:15:00+02:00,9345,1784
2020-04-02T12:15:00+02:00,10662,2102
2020-04-03T12:15:00+02:00,11719,2361
2020-04-04T12:15:00+02:00,11915,2471
2020-04-05T12:15:00+02:00,11942,2528
2020-04-06T12:15:00+02:00,11996,2551
2020-04-07T12:15:00+02:00,11938,2641
2020-04-08T12:15:00+02:00,12526,2654
2020-04-09T12:15:00+02:00,13129,2714
2020-04-10T12:15:00+02:00,12881,2702
2020-04-11T12:15:00+02:00,12462,2652
2020-04-12T12:15:00+02:00,12541,2652
2020-04-13T12:15:00+02:00,12831,2719
2020-04-14T12:15:00+02:00,13123,2722
2020-04-15T12:15:00+02:00,14119,2735
2020-04-16T12:15:00+02:00,15673,2810
2020-04-17T12:15:00+02:00,16861,2879
2020-04-18T12:15:00+02:00,17337,2928
2020-04-19T12:15:00+02:00,16956,2870
2020-04-20T12:15:00+02:00,17270,2900
2020-04-21T12:15:00+02:00,18189,2855
2020-04-22T12:15:00+02:00,18566,2739
2020-04-23T12:15:00+02:00,18726,2720
2020-04-24T12:15:00+02:00,18904,2644
2020-04-25T12:15:00+02:00,18763,2538
2020-04-26T12:15:00+02:00,18279,2524
2020-04-27T12:15:00+02:00,18461,2466
2020-04-28T12:15:00+02:00,18973,2391
2020-04-29T12:15:00+02:00,19204,2310
2020-04-30T12:15:00+02:00,19155,2235
2020-05-01T12:15:00+02:00,19218,2118
2020-05-02T12:15:00+02:00,18579,2046
2020-05-03T12:15:00+02:00,18706,2011
2020-05-04T12:15:00+02:00,18619,1976
2020-05-05T12:15:00+02:00,19195,1903
2020-05-06T12:15:00+02:00,19560,1820
2020-05-07T12:15:00+02:00,19536,1763
2020-05-08T12:15:00+02:00,19484,1659
2020-05-09T12:15:00+02:00,19287,1594
2020-05-10T12:15:00+02:00,18734,1603
2020-05-11T12:15:00+02:00,18891,1587
2020-05-12T12:15:00+02:00,19791,1496
2020-05-13T12:15:00+02:00,19730,1384
2020-05-14T12:15:00+02:00,19663,1316
2020-05-15T12:15:00+02:00,19991,1232
2020-05-16T12:15:00+02:00,19629,1173
2020-05-17T12:15:00+02:00,19112,1125
2020-05-18T12:15:00+02:00,19070,1122
2020-05-19T12:15:00+02:00,19647,1087
2020-05-20T12:15:00+02:00,19878,1019
2020-05-21T12:15:00+02:00,19877,999
2020-05-22T12:15:00+02:00,19318,971
2020-05-23T12:15:00+02:00,19505,928
2020-05-24T12:15:00+02:00,19021,896
2020-05-25T12:15:00+02:00,19076,883
2020-05-26T12:15:00+02:00,19611,810
2020-05-27T12:15:00+02:00,19874,749
2020-05-28T12:15:00+02:00,19971,723
2020-05-29T12:15:00+02:00,19899,722
2020-05-30T12:15:00+02:00,19804,711
2020-05-31T12:15:00+02:00,19139,697
2020-06-01T12:15:00+02:00,19074,696
2020-06-02T12:15:00+02:00,19143,691
2020-06-03T12:15:00+02:00,19841,631
2020-06-04T12:15:00+02:00,20160,595
2020-06-05T12:15:00+02:00,20239,584
2020-06-06T12:15:00+02:00,19964,561
2020-06-07T12:15:00+02:00,19376,566
2020-06-08T12:15:00+02:00,19230,543
2020-06-09T12:15:00+02:00,20070,516
2020-06-10T12:15:00+02:00,20218,483
2020-06-11T12:15:00+02:00,20144,452
2020-06-12T12:15:00+02:00,19675,450
2020-06-13T12:15:00+02:00,19618,441
2020-06-14T12:15:00+02:00,19233,438
2020-06-15T12:15:00+02:00,19319,434
2020-06-16T12:15:00+02:00,20038,421
2020-06-17T12:15:00+02:00,20320,407
2020-06-18T12:15:00+02:00,20448,394
2020-06-19T12:15:00+02:00,20541,374
2020-06-20T12:15:00+02:00,20226,359
2020-06-21T12:15:00+02:00,19658,350
2020-06-22T12:15:00+02:00,19676,363
2020-06-23T12:15:00+02:00,20298,358
2020-06-24T12:15:00+02:00,20380,353
2020-06-25T12:15:00+02:00,20376,358
2020-06-26T12:15:00+02:00,20522,359
2020-06-27T12:15:00+02:00,20314,343
2020-06-28T12:15:00+02:00,19811,335
2020-06-29T12:15:00+02:00,19752,329
2020-06-30T12:15:00+02:00,20325,333
2020-07-01T12:15:00+02:00,20709,324
2020-07-02T12:15:00+02:00,20806,325
2020-07-03T12:15:00+02:00,20590,314
2020-07-04T12:15:00+02:00,20226,320
2020-07-05T12:15:00+02:00,19671,299
2020-07-06T12:15:00+02:00,19716,305
2020-07-07T12:15:00+02:00,20264,292
2020-07-08T12:15:00+02:00,20483,287
2020-07-09T12:15:00+02:00,20548,272
2020-07-10T12:15:00+02:00,20641,276
2020-07-11T12:15:00+02:00,20374,253
2020-07-12T12:15:00+02:00,19767,254
2020-07-13T12:15:00+02:00,19636,263
2020-07-14T12:15:00+02:00,20355,256
2020-07-15T12:15:00+02:00,20744,246
2020-07-16T12:15:00+02:00,20784,251
2020-07-17T12:15:00+02:00,20842,246
2020-07-18T12:15:00+02:00,20453,246
2020-07-19T12:15:00+02:00,19974,249
2020-07-20T12:15:00+02:00,20115,245
2020-07-21T12:15:00+02:00,20450,251
2020-07-22T12:15:00+02:00,20592,248
2020-07-23T12:15:00+02:00,20505,234
2020-07-24T12:15:00+02:00,20553,235
2020-07-25T12:15:00+02:00,20261,247
2020-07-26T12:15:00+02:00,19772,265
2020-07-27T12:15:00+02:00,19659,257
2020-07-28T12:15:00+02:00,20230,253
2020-07-29T12:15:00+02:00,20354,255
2020-07-30T12:15:00+02:00,20132,260
2020-07-31T12:15:00+02:00,20171,259
2020-08-01T12:15:00+02:00,19875,255
2020-08-02T12:15:00+02:00,19395,267
2020-08-03T12:15:00+02:00,19369,263
2020-08-04T12:15:00+02:00,19851,258
2020-08-05T12:15:00+02:00,20108,238
2020-08-06T12:15:00+02:00,20033,236
2020-08-07T12:15:00+02:00,20066,226
2020-08-08T12:15:00+02:00,19811,228
2020-08-09T12:15:00+02:00,19375,234
2020-08-10T12:15:00+02:00,19370,227
2020-08-11T12:15:00+02:00,20004,230
2020-08-12T12:15:00+02:00,20145,220
2020-08-13T12:15:00+02:00,20221,223
2020-08-14T12:15:00+02:00,20313,230
2020-08-15T12:15:00+02:00,19976,228
2020-08-16T12:15:00+02:00,19481,224
2020-08-17T12:15:00+02:00,19478,226
2020-08-18T12:15:00+02:00,20002,219
2020-08-19T12:15:00+02:00,20135,226
2020-08-20T12:15:00+02:00,20275,229
2020-08-21T12:15:00+02:00,20294,235
2020-08-22T12:15:00+02:00,19844,230
2020-08-23T12:15:00+02:00,19379,242
2020-08-24T12:15:00+02:00,19241,243
2020-08-25T12:15:00+02:00,19870,223
2020-08-26T12:15:00+02:00,20069,225
2020-08-27T12:15:00+02:00,19952,238
2020-08-28T12:15:00+02:00,19964,234
2020-08-29T12:15:00+02:00,19879,239
2020-08-30T12:15:00+02:00,19374,243
2020-08-31T12:15:00+02:00,19334,244
2020-09-01T12:15:00+02:00,19930,233
2020-09-02T12:15:00+02:00,20064,226
2020-09-03T12:15:00+02:00,20076,221
2020-09-04T12:15:00+02:00,20022,223
2020-09-05T12:15:00+02:00,19864,220
2020-09-06T12:15:00+02:00,19302,216
2020-09-07T12:15:00+02:00,19386,227
2020-09-08T12:15:00+02:00,20051,229
2020-09-09T12:15:00+02:00,20158,225
2020-09-10T12:15:00+02:00,20309,230
2020-09-11T12:15:00+02:00,20390,218
2020-09-12T12:15:00+02:00,20030,231
2020-09-13T12:15:00+02:00,19547,234
2020-09-14T12:15:00+02:00,19423,233
2020-09-15T12:15:00+02:00,20135,232
2020-09-16T12:15:00+02:00,20413,228
2020-09-17T12:15:00+02:00,20541,234
2020-09-18T12:15:00+02:00,20352,243
2020-09-19T12:15:00+02:00,19910,253
2020-09-20T12:15:00+02:00,19480,265
2020-09-21T12:15:00+02:00,19434,265
