,Datum,Erstimpfung,Zweitimpfung,Drittimpfung,Erstimpfung_MA,Zweitimpfung_MA,Drittimpfung_MA,Erstimpfung_cumsum,Zweitimpfung_cumsum,Drittimpfung_cumsum,Ziel
0,2020-12-27 00:00:00+00:00,24337,0,0,,,,24337,0,0,70550000.0
1,2020-12-28 00:00:00+00:00,18044,0,0,,,,42381,0,0,70550000.0
2,2020-12-29 00:00:00+00:00,50069,0,0,,,,92450,0,0,70550000.0
3,2020-12-30 00:00:00+00:00,64055,0,0,,,,156505,0,0,70550000.0
4,2020-12-31 00:00:00+00:00,49894,0,0,,,,206399,0,0,70550000.0
5,2021-01-01 00:00:00+00:00,25534,0,0,,,,231933,0,0,70550000.0
6,2021-01-02 00:00:00+00:00,47944,0,0,39982.42857142857,0.0,0.0,279877,0,0,70550000.0
7,2021-01-03 00:00:00+00:00,22530,0,0,39724.28571428572,0.0,0.0,302407,0,0,70550000.0
8,2021-01-04 00:00:00+00:00,46073,0,0,43728.42857142857,0.0,0.0,348480,0,0,70550000.0
9,2021-01-05 00:00:00+00:00,52602,0,0,44090.28571428572,0.0,0.0,401082,0,0,70550000.0
10,2021-01-06 00:00:00+00:00,62997,0,0,43939.142857142855,0.0,0.0,464079,0,0,70550000.0
11,2021-01-07 00:00:00+00:00,54767,0,0,44635.28571428572,0.0,0.0,518846,0,0,70550000.0
12,2021-01-08 00:00:00+00:00,62682,0,0,49942.142857142855,0.0,0.0,581528,0,0,70550000.0
13,2021-01-09 00:00:00+00:00,60552,0,0,51743.28571428572,0.0,0.0,642080,0,0,70550000.0
14,2021-01-10 00:00:00+00:00,35861,0,0,53647.71428571428,0.0,0.0,677941,0,0,70550000.0
15,2021-01-11 00:00:00+00:00,68226,0,0,56812.42857142857,0.0,0.0,746167,0,0,70550000.0
16,2021-01-12 00:00:00+00:00,79059,0,0,60592.0,0.0,0.0,825226,0,0,70550000.0
17,2021-01-13 00:00:00+00:00,111917,0,0,67580.57142857143,0.0,0.0,937143,0,0,70550000.0
18,2021-01-14 00:00:00+00:00,83896,0,0,71741.85714285714,0.0,0.0,1021039,0,0,70550000.0
19,2021-01-15 00:00:00+00:00,90837,917,0,75764.0,131.0,0.0,1111876,917,0,70550000.0
20,2021-01-16 00:00:00+00:00,56814,1221,0,75230.0,305.42857142857144,0.0,1168690,2138,0,70550000.0
21,2021-01-17 00:00:00+00:00,30788,17007,0,74505.28571428571,2735.0,0.0,1199478,19145,0,70550000.0
22,2021-01-18 00:00:00+00:00,67060,15612,0,74338.71428571429,4965.285714285715,0.0,1266538,34757,0,70550000.0
23,2021-01-19 00:00:00+00:00,82951,36036,0,74894.71428571429,10113.285714285714,0.0,1349489,70793,0,70550000.0
24,2021-01-20 00:00:00+00:00,78874,53731,0,70174.28571428571,17789.14285714286,0.0,1428363,124524,0,70550000.0
25,2021-01-21 00:00:00+00:00,64575,40895,0,67414.14285714286,23631.285714285714,0.0,1492938,165419,0,70550000.0
26,2021-01-22 00:00:00+00:00,68740,33553,0,64257.42857142857,28293.571428571428,0.0,1561678,198972,0,70550000.0
27,2021-01-23 00:00:00+00:00,40488,46485,0,61925.142857142855,34759.857142857145,0.0,1602166,245457,0,70550000.0
28,2021-01-24 00:00:00+00:00,25674,22101,0,61194.57142857143,35487.57142857143,0.0,1627840,267558,0,70550000.0
29,2021-01-25 00:00:00+00:00,52274,38722,0,59082.28571428572,38789.0,0.0,1680114,306280,0,70550000.0
30,2021-01-26 00:00:00+00:00,50680,47711,0,54472.142857142855,40456.857142857145,0.0,1730794,353991,0,70550000.0
31,2021-01-27 00:00:00+00:00,50936,58405,0,50481.0,41124.57142857143,0.0,1781730,412396,0,70550000.0
32,2021-01-28 00:00:00+00:00,46816,45704,0,47944.0,41811.57142857143,0.0,1828546,458100,0,70550000.0
33,2021-01-29 00:00:00+00:00,49846,57829,0,45244.857142857145,45279.57142857143,0.0,1878392,515929,0,70550000.0
34,2021-01-30 00:00:00+00:00,34610,53439,0,44405.142857142855,46273.0,0.0,1913002,569368,0,70550000.0
35,2021-01-31 00:00:00+00:00,25760,31449,0,44417.42857142857,47608.42857142857,0.0,1938762,600817,0,70550000.0
36,2021-02-01 00:00:00+00:00,57761,61892,0,45201.28571428572,50918.42857142857,0.0,1996523,662709,0,70550000.0
37,2021-02-02 00:00:00+00:00,64923,67263,0,47236.0,53711.57142857143,0.0,2061446,729972,0,70550000.0
38,2021-02-03 00:00:00+00:00,64126,98325,0,49120.28571428572,59414.42857142857,0.0,2125572,828297,0,70550000.0
39,2021-02-04 00:00:00+00:00,61527,72480,0,51221.857142857145,63239.57142857143,0.0,2187099,900777,0,70550000.0
40,2021-02-05 00:00:00+00:00,68944,78131,0,53950.142857142855,66139.85714285714,0.0,2256043,978908,0,70550000.0
41,2021-02-06 00:00:00+00:00,45403,48551,0,55492.0,65441.57142857143,0.0,2301446,1027459,0,70550000.0
42,2021-02-07 00:00:00+00:00,28276,25270,0,55851.42857142857,64558.857142857145,0.0,2329722,1052729,0,70550000.0
43,2021-02-08 00:00:00+00:00,52906,56195,0,55157.857142857145,63745.0,0.0,2382628,1108924,0,70550000.0
44,2021-02-09 00:00:00+00:00,60170,73801,0,54478.857142857145,64679.0,0.0,2442798,1182725,0,70550000.0
