Datum;Erstimpfung;Zweitimpfung;Drittimpfung
27.12.2020;24355;0;0
28.12.2020;18030;0;0
29.12.2020;50045;0;0
30.12.2020;64160;0;0
31.12.2020;49924;0;0
01.01.2021;25666;0;0
02.01.2021;48004;0;0
03.01.2021;22573;0;0
04.01.2021;46099;0;0
05.01.2021;52641;0;0
06.01.2021;63090;0;0
07.01.2021;54800;0;0
08.01.2021;62758;0;0
09.01.2021;60603;0;0
10.01.2021;35885;0;0
11.01.2021;68544;0;0
12.01.2021;79101;0;0
13.01.2021;112096;0;0
14.01.2021;83919;0;0
15.01.2021;90891;919;0
16.01.2021;56866;1223;0
17.01.2021;30796;17019;0
18.01.2021;67417;15601;0
19.01.2021;83810;35994;0
20.01.2021;79030;53870;0
21.01.2021;64636;40907;0
22.01.2021;68763;33580;0
23.01.2021;40536;46522;0
24.01.2021;25693;22127;0
25.01.2021;52298;38727;0
26.01.2021;50808;47727;0
27.01.2021;50993;58484;0
28.01.2021;46840;45722;0
29.01.2021;49854;57927;0
30.01.2021;34627;53486;0
31.01.2021;25774;31458;0
01.02.2021;58319;62126;0
02.02.2021;65566;67298;0
03.02.2021;64672;98430;0
04.02.2021;62124;72499;0
05.02.2021;69408;78179;0
06.02.2021;45616;48596;0
07.02.2021;28304;25275;0
08.02.2021;53050;56464;0
09.02.2021;60258;74501;0
10.02.2021;77810;77742;0
11.02.2021;75696;69007;0
12.02.2021;80276;75977;0
13.02.2021;62055;45824;0
14.02.2021;39639;25833;0
15.02.2021;70180;55686;0
16.02.2021;78383;56569;0
17.02.2021;95446;56489;0
18.02.2021;91851;53350;0
19.02.2021;103161;55939;0
20.02.2021;76208;36342;0
21.02.2021;57728;28314;0
22.02.2021;98324;58380;0
23.02.2021;110016;60596;0
24.02.2021;117640;59514;0
25.02.2021;130958;59404;0
26.02.2021;146543;67657;0
27.02.2021;108309;39814;0
28.02.2021;79304;24207;0
01.03.2021;149426;50035;0
02.03.2021;167944;52269;0
03.03.2021;177778;70809;0
04.03.2021;182598;63351;0
05.03.2021;208447;67428;0
06.03.2021;154141;48748;0
07.03.2021;114373;33534;0
08.03.2021;186475;51876;0
09.03.2021;198092;54970;0
10.03.2021;222528;67477;0
11.03.2021;224241;60974;0
12.03.2021;256736;71126;0
13.03.2021;190923;50397;0
14.03.2021;134767;35704;0
15.03.2021;189684;59322;0
16.03.2021;111226;68331;0
17.03.2021;124713;81183;0
18.03.2021;118256;75816;0
19.03.2021;161316;84670;0
20.03.2021;167496;53405;0
21.03.2021;126609;38329;0
22.03.2021;193260;76731;0
23.03.2021;217437;84399;0
24.03.2021;250945;89692;0
25.03.2021;252776;81384;0
26.03.2021;286420;89071;0
27.03.2021;219805;62492;0
28.03.2021;143462;53340;0
29.03.2021;217564;88990;0
30.03.2021;237056;92953;0
31.03.2021;235874;101946;0
01.04.2021;237250;91294;0
02.04.2021;158142;68128;0
03.04.2021;167860;64687;0
04.04.2021;142897;50594;0
05.04.2021;178088;70420;0
06.04.2021;279591;94908;0
07.04.2021;573241;96555;0
08.04.2021;612861;87916;0
09.04.2021;544970;89164;0
10.04.2021;308026;65158;0
11.04.2021;213941;50426;0
12.04.2021;343068;76492;0
13.04.2021;504430;73801;0
14.04.2021;694159;83392;0
15.04.2021;612480;70358;0
16.04.2021;524632;74391;0
17.04.2021;310040;56719;0
18.04.2021;230910;39090;0
19.04.2021;342208;61571;0
20.04.2021;499947;62949;0
21.04.2021;650014;73450;0
22.04.2021;573715;67427;0
23.04.2021;488681;69262;0
24.04.2021;307406;59170;0
25.04.2021;234336;49193;0
26.04.2021;360272;74146;0
27.04.2021;696277;91664;0
28.04.2021;999637;126632;0
29.04.2021;816298;133265;0
