Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MA_deaths,MSTD_cases,MSTD_deaths,OTG_cases,UTG_cases,OTG_deaths,UTG_deaths
2020-11-07 00:00:00+00:00,Austria,6324,138604,44,5308.714285714285,30.857142857142858,1385.810438490282,12.348124978163016,6694.524724204567,3922.9038472240036,43.205267835305875,18.50901787897984
2020-11-08 00:00:00+00:00,Austria,7898,146502,23,5702.571428571428,31.571428571428573,1688.8473245721004,11.602544876844483,7391.418753143529,4013.724103999328,43.17397344827306,19.96888369458409
2020-11-09 00:00:00+00:00,Austria,6006,152508,17,5914.0,31.571428571428573,1607.6932750580013,11.602544876844483,7521.693275058002,4306.306724941998,43.17397344827306,19.96888369458409
2020-11-10 00:00:00+00:00,Austria,5704,158212,48,6277.428571428572,35.42857142857143,1083.4426391743161,11.984116472197199,7360.871210602888,5193.985932254255,47.41268790076863,23.44445495637423
2020-11-11 00:00:00+00:00,Austria,3839,162051,35,6190.857142857143,35.57142857142857,1263.5113017000933,11.970201096299713,7454.368444557236,4927.34584115705,47.54162966772828,23.60122747512886
2020-11-12 00:00:00+00:00,Austria,9643,171694,55,6637.857142857143,38.42857142857143,1825.4209951471094,14.022091413879268,8463.278138004252,4812.436147710034,52.4506628424507,24.406480014692164
2020-11-13 00:00:00+00:00,Austria,10368,182062,37,7111.714285714285,37.0,2315.328105926953,13.503086067024572,9427.042391641238,4796.386179787332,50.50308606702457,23.496913932975428
2020-11-14 00:00:00+00:00,Austria,8962,191024,64,7488.571428571428,39.857142857142854,2379.5440639712906,16.91575765796482,9868.115492542718,5109.027364600138,56.77290051510768,22.941385199178033
2020-11-15 00:00:00+00:00,Austria,7192,198216,55,7387.714285714285,44.42857142857143,2374.2541786341994,15.893994073837566,9761.968464348485,5013.460107080085,60.322565502409,28.534577354733862
2020-11-16 00:00:00+00:00,Austria,5278,203494,50,7283.714285714285,49.142857142857146,2459.2866658366524,10.31873008060218,9743.000951550937,4824.427619877633,59.461587223459325,38.824127062254966
2020-11-17 00:00:00+00:00,Austria,4304,207798,62,7083.714285714285,51.142857142857146,2658.0614937886517,11.364103886492323,9741.775779502937,4425.652791925633,62.50696102934947,39.77875325636482
2020-11-18 00:00:00+00:00,Austria,5664,213462,74,7344.428571428572,56.714285714285715,2359.4971114726272,11.686377906415597,9703.9256829012,4984.931459955944,68.40066362070131,45.02790780787012
2020-11-19 00:00:00+00:00,Austria,7766,221228,113,7076.285714285715,65.0,2152.299058703342,24.16609194719175,9228.584772989056,4923.986655582373,89.16609194719175,40.833908052808255
2020-11-20 00:00:00+00:00,Austria,6830,228058,90,6570.857142857143,72.57142857142857,1593.2887820031863,22.149922068015723,8164.14592486033,4977.568360853957,94.7213506394443,50.42150650341284
2020-11-21 00:00:00+00:00,Austria,6612,234670,79,6235.142857142857,74.71428571428571,1205.999921029792,21.906728690173782,7441.142778172649,5029.142936113065,96.62101440445949,52.80755702411193
2020-11-22 00:00:00+00:00,Austria,6239,240909,58,6099.0,75.14285714285714,1131.4673363970294,21.481996892195834,7230.46733639703,4967.53266360297,96.62485403505298,53.6608602506613
2020-11-23 00:00:00+00:00,Austria,5215,246124,44,6090.0,74.28571428571429,1139.3095862553728,22.73553962202972,7229.309586255373,4950.690413744627,97.02125390774401,51.55017466368457
2020-11-24 00:00:00+00:00,Austria,3090,249214,94,5916.571428571428,78.85714285714286,1493.7547609009794,23.068221802795644,7410.326189472407,4422.8166676704495,101.92536465993851,55.78892105434721
2020-11-25 00:00:00+00:00,Austria,4135,253349,115,5698.142857142857,84.71428571428571,1641.3432942330703,26.568868284232178,7339.486151375927,4056.799562909787,111.28315399851789,58.14541743005353
2020-11-26 00:00:00+00:00,Austria,5896,259245,94,5431.0,82.0,1380.0727033988917,24.048561980572796,6811.0727033988915,4050.9272966011085,106.0485619805728,57.9514380194272
2020-11-27 00:00:00+00:00,Austria,5447,264692,114,5233.428571428572,85.42857142857143,1238.1045805508563,26.918748998034136,6471.533151979428,3995.323990877715,112.34732042660556,58.5098224305373
2020-11-28 00:00:00+00:00,Austria,4818,269510,148,4977.142857142857,95.28571428571429,1080.876408070724,35.452852662442744,6058.019265213581,3896.2664490721327,130.73856694815703,59.83286162327155
