,Date_reported,WHO_region,New_cases,New_deaths,MA,MA_d
0,2020-01-04 00:00:00+00:00,EURO,2,0,2.0,0.0
1,2020-01-11 00:00:00+00:00,EURO,1,0,1.5,0.0
2,2020-01-12 00:00:00+00:00,EURO,1,0,1.3333333333333333,0.0
3,2020-01-14 00:00:00+00:00,EURO,1,0,1.25,0.0
4,2020-01-20 00:00:00+00:00,EURO,1,0,1.2,0.0
5,2020-01-23 00:00:00+00:00,EURO,1,0,1.1666666666666667,0.0
6,2020-01-24 00:00:00+00:00,EURO,4,0,1.5714285714285714,0.0
7,2020-01-29 00:00:00+00:00,EURO,5,0,2.0,0.0
8,2020-01-30 00:00:00+00:00,EURO,3,0,2.2857142857142856,0.0
9,2020-01-31 00:00:00+00:00,EURO,5,0,2.857142857142857,0.0
10,2020-02-01 00:00:00+00:00,EURO,3,0,3.142857142857143,0.0
11,2020-02-02 00:00:00+00:00,EURO,6,0,3.857142857142857,0.0
12,2020-02-04 00:00:00+00:00,EURO,3,0,4.142857142857143,0.0
13,2020-02-05 00:00:00+00:00,EURO,20,0,6.428571428571429,0.0
14,2020-02-06 00:00:00+00:00,EURO,4,0,6.285714285714286,0.0
15,2020-02-07 00:00:00+00:00,EURO,3,0,6.285714285714286,0.0
16,2020-02-08 00:00:00+00:00,EURO,6,0,6.428571428571429,0.0
17,2020-02-10 00:00:00+00:00,EURO,3,0,6.428571428571429,0.0
18,2020-02-11 00:00:00+00:00,EURO,4,0,6.142857142857143,0.0
19,2020-02-12 00:00:00+00:00,EURO,2,0,6.0,0.0
20,2020-02-13 00:00:00+00:00,EURO,6,0,4.0,0.0
21,2020-02-14 00:00:00+00:00,EURO,4,0,4.0,0.0
22,2020-02-15 00:00:00+00:00,EURO,1,0,3.7142857142857144,0.0
23,2020-02-16 00:00:00+00:00,EURO,1,0,3.0,0.0
24,2020-02-17 00:00:00+00:00,EURO,1,0,2.7142857142857144,0.0
25,2020-02-18 00:00:00+00:00,EURO,1,0,2.2857142857142856,0.0
26,2020-02-19 00:00:00+00:00,EURO,3,0,2.4285714285714284,0.0
27,2020-02-20 00:00:00+00:00,EURO,1,0,1.7142857142857142,0.0
28,2020-02-21 00:00:00+00:00,EURO,9,0,2.4285714285714284,0.0
29,2020-02-22 00:00:00+00:00,EURO,15,0,4.428571428571429,0.0
30,2020-02-23 00:00:00+00:00,EURO,66,2,13.714285714285714,0.2857142857142857
31,2020-02-24 00:00:00+00:00,EURO,55,1,21.428571428571427,0.42857142857142855
32,2020-02-25 00:00:00+00:00,EURO,109,5,36.857142857142854,1.1428571428571428
33,2020-02-26 00:00:00+00:00,EURO,106,3,51.57142857142857,1.5714285714285714
34,2020-02-27 00:00:00+00:00,EURO,103,3,66.14285714285714,2.0
35,2020-02-28 00:00:00+00:00,EURO,312,5,109.42857142857143,2.7142857142857144
36,2020-02-29 00:00:00+00:00,EURO,342,4,156.14285714285714,3.2857142857142856
37,2020-03-01 00:00:00+00:00,EURO,406,8,204.71428571428572,4.142857142857143
38,2020-03-02 00:00:00+00:00,EURO,693,6,295.85714285714283,4.857142857142857
39,2020-03-03 00:00:00+00:00,EURO,577,20,362.7142857142857,7.0
40,2020-03-04 00:00:00+00:00,EURO,782,29,459.2857142857143,10.714285714285714
41,2020-03-05 00:00:00+00:00,EURO,1096,33,601.1428571428571,15.0
42,2020-03-06 00:00:00+00:00,EURO,1539,48,776.4285714285714,21.142857142857142
43,2020-03-07 00:00:00+00:00,EURO,1762,58,979.2857142857143,28.857142857142858
44,2020-03-08 00:00:00+00:00,EURO,2231,44,1240.0,34.0
45,2020-03-09 00:00:00+00:00,EURO,2781,151,1538.2857142857142,54.714285714285715
46,2020-03-10 00:00:00+00:00,EURO,3396,129,1941.0,70.28571428571429
47,2020-03-11 00:00:00+00:00,EURO,3780,203,2369.285714285714,95.14285714285714
48,2020-03-12 00:00:00+00:00,EURO,6206,256,3099.285714285714,127.0
49,2020-03-13 00:00:00+00:00,EURO,7374,266,3932.8571428571427,158.14285714285714
50,2020-03-14 00:00:00+00:00,EURO,8471,366,4891.285714285715,202.14285714285714
51,2020-03-15 00:00:00+00:00,EURO,10312,320,6045.714285714285,241.57142857142858
52,2020-03-16 00:00:00+00:00,EURO,10102,582,7091.571428571428,303.14285714285717
53,2020-03-17 00:00:00+00:00,EURO,11149,581,8199.142857142857,367.7142857142857
54,2020-03-18 00:00:00+00:00,EURO,13779,698,9627.57142857143,438.42857142857144
55,2020-03-19 00:00:00+00:00,EURO,17876,891,11294.714285714286,529.1428571428571
56,2020-03-20 00:00:00+00:00,EURO,21057,1027,13249.42857142857,637.8571428571429
57,2020-03-21 00:00:00+00:00,EURO,23838,1302,15444.714285714286,771.5714285714286
58,2020-03-22 00:00:00+00:00,EURO,25238,1681,17577.0,966.0
59,2020-03-23 00:00:00+00:00,EURO,22085,1665,19288.85714285714,1120.7142857142858
60,2020-03-24 00:00:00+00:00,EURO,24349,1776,21174.571428571428,1291.4285714285713
61,2020-03-25 00:00:00+00:00,EURO,29555,2226,23428.285714285714,1509.7142857142858
