Bundesland,Fläche,Einwohner,Einwohner_pro_km²
Schleswig-Holstein,15800.54,2903773.0,183.77682028588896
Hamburg,755.09,1847253.0,2446.4010912606445
Niedersachsen,47709.8,7993608.0,167.54645796041902
Bremen,419.37,681202.0,1624.3460428738344
Nordrhein-Westfalen,34112.44,17947221.0,526.1195329328538
Hessen,21115.64,6288080.0,297.7925367168601
Rheinland-Pfalz,19858.0,4093903.0,206.1588780340417
Baden-Württemberg,35747.83,11100394.0,310.5193797777375
Bayern,70541.57,13124737.0,186.05677474998075
Saarland,2571.11,986887.0,383.8369420211504
Berlin,891.12,3669491.0,4117.841592602567
Brandenburg,29654.43,2521893.0,85.04270694125633
Mecklenburg-Vorpommern,23295.22,1608138.0,69.03296040990384
Sachsen,18449.93,4071971.0,220.7038725892185
Sachsen-Anhalt,20456.51,2194782.0,107.29014871060608
Thüringen,16202.35,2133378.0,131.67089959172588
