,Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MSTD_cases,OTG_cases,UTG_cases,MA_d,MSTD_deaths,OTG_deaths,UTG_deaths
56304,2020-04-02 00:00:00+00:00,Greece,101,1415,1,101.0,,,,1.0,,,
56305,2020-04-03 00:00:00+00:00,Greece,129,1544,3,115.0,19.79898987322333,134.79898987322332,95.20101012677667,2.0,1.4142135623730951,3.414213562373095,0.5857864376269049
56306,2020-04-04 00:00:00+00:00,Greece,69,1613,6,99.66666666666667,30.02221399786054,129.6888806645272,69.64445266880614,3.3333333333333335,2.516611478423583,5.849944811756917,0.8167218549097504
56307,2020-04-05 00:00:00+00:00,Greece,60,1673,9,89.75,31.531730050855124,121.28173005085512,58.218269949144876,4.75,3.5,8.25,1.25
56308,2020-04-06 00:00:00+00:00,Greece,62,1735,5,84.2,29.994999583263876,114.19499958326388,54.20500041673613,4.8,3.03315017762062,7.83315017762062,1.7668498223793798
56309,2020-04-07 00:00:00+00:00,Greece,20,1755,6,73.5,37.505999520076784,111.00599952007678,35.994000479923216,5.0,2.756809750418044,7.756809750418045,2.243190249581956
56310,2020-04-08 00:00:00+00:00,Greece,77,1832,2,74.0,34.26368339802363,108.26368339802363,39.73631660197637,4.571428571428571,2.760262237369417,7.331690808797989,1.8111663340591542
56311,2020-04-09 00:00:00+00:00,Greece,52,1884,2,67.0,32.802438933713454,99.80243893371346,34.197561066286546,4.714285714285714,2.563479777846623,7.277765492132337,2.1508059364390912
56312,2020-04-10 00:00:00+00:00,Greece,71,1955,3,58.714285714285715,18.91837101615152,77.63265673043723,39.7959146981342,4.714285714285714,2.563479777846623,7.277765492132337,2.1508059364390912
56313,2020-04-11 00:00:00+00:00,Greece,56,2011,4,56.857142857142854,18.370525046285163,75.22766790342801,38.486617810857695,4.428571428571429,2.5071326821120348,6.935704110683464,1.921438746459394
56314,2020-04-12 00:00:00+00:00,Greece,72,2083,3,58.57142857142857,19.251468713296855,77.82289728472543,39.31995985813171,3.5714285714285716,1.511857892036909,5.08328646346548,2.059570679391663
56315,2020-04-13 00:00:00+00:00,Greece,33,2116,5,54.42857142857143,21.39203233961298,75.82060376818441,33.03653908895845,3.5714285714285716,1.511857892036909,5.08328646346548,2.059570679391663
