,Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MSTD_cases,OTG_cases,UTG_cases,MA_d,MSTD_deaths,OTG_deaths,UTG_deaths
66714,2020-04-02 00:00:00+00:00,India,328,1965,12,328.0,,,,12.0,,,
66715,2020-04-03 00:00:00+00:00,India,336,2301,6,332.0,5.656854249492381,337.65685424949237,326.34314575050763,9.0,4.242640687119285,13.242640687119284,4.757359312880715
66716,2020-04-04 00:00:00+00:00,India,601,2902,12,421.6666666666667,155.3587246772235,577.0253913438902,266.3079419894432,10.0,3.4641016151377544,13.464101615137753,6.535898384862246
66717,2020-04-05 00:00:00+00:00,India,472,3374,9,434.25,129.32227186374354,563.5722718637435,304.92772813625646,9.75,2.8722813232690143,12.622281323269014,6.877718676730986
66718,2020-04-06 00:00:00+00:00,India,693,4067,32,486.0,161.03881519683384,647.0388151968339,324.96118480316613,14.2,10.256705123966467,24.456705123966465,3.943294876033532
66719,2020-04-07 00:00:00+00:00,India,354,4421,5,464.0,153.78816599465642,617.7881659946564,310.2118340053436,12.666666666666666,9.912954487269003,22.57962115393567,2.753712179397663
66720,2020-04-08 00:00:00+00:00,India,853,5274,35,519.5714285714286,203.28867581418723,722.8601043856158,316.2827527572413,15.857142857142858,12.375090187261552,28.23223304440441,3.4820526698813055
66721,2020-04-09 00:00:00+00:00,India,591,5865,20,557.1428571428571,185.5077972947306,742.6506544375877,371.6350598481265,17.0,12.328828005937952,29.32882800593795,4.671171994062048
66722,2020-04-10 00:00:00+00:00,India,547,6412,30,587.2857142857143,158.80671090533747,746.0924251910518,428.47900338037687,20.428571428571427,12.09486313629527,32.5234345648667,8.333708292276157
66723,2020-04-11 00:00:00+00:00,India,1035,7447,40,649.2857142857143,232.61894039087065,881.904654676585,416.6667738948437,24.428571428571427,13.40220308826305,37.83077451683448,11.026368340308377
66724,2020-04-12 00:00:00+00:00,India,909,8356,34,711.7142857142857,235.72916258969337,947.443448303979,475.9851231245923,28.0,11.846237095944574,39.84623709594457,16.153762904055426
66725,2020-04-13 00:00:00+00:00,India,796,9152,35,726.4285714285714,237.5737479484754,964.0023193770469,488.85482348009606,28.428571428571427,12.067271755415456,40.495843183986885,16.36129967315597
66726,2020-04-14 00:00:00+00:00,India,1211,10363,31,848.8571428571429,234.46138884077033,1083.3185316979132,614.3957540163726,32.142857142857146,6.256425268702339,38.39928241155948,25.88643187415481
66727,2020-04-15 00:00:00+00:00,India,1076,11439,38,880.7142857142857,249.76836888452897,1130.4826545988146,630.9459168297567,32.57142857142857,6.579187965525402,39.15061653695397,25.992240605903167
66728,2020-04-16 00:00:00+00:00,India,941,12380,37,930.7142857142857,214.6723971432707,1145.3866828575565,716.041888571015,35.0,3.651483716701106,38.65148371670111,31.348516283298896
66729,2020-04-17 00:00:00+00:00,India,1007,13387,23,996.4285714285714,132.19916432269568,1128.6277357512672,864.2294071058758,34.0,5.65685424949238,39.65685424949238,28.34314575050762
66730,2020-04-18 00:00:00+00:00,India,991,14378,43,990.1428571428571,131.1010152152768,1121.243872358134,859.0418419275803,34.42857142857143,6.267831705280087,40.69640313385152,28.160739723291343
66731,2020-04-19 00:00:00+00:00,India,1334,15712,27,1050.857142857143,177.47058777107148,1228.3277306282143,873.3865550860714,33.42857142857143,6.876460883747851,40.305032312319284,26.55211054482358
66732,2020-04-20 00:00:00+00:00,India,1553,17265,36,1159.0,221.47460351019964,1380.4746035101996,937.5253964898004,33.57142857142857,6.924765768773767,40.49619434020234,26.646662802654802
66733,2020-04-21 00:00:00+00:00,India,1336,18601,47,1176.857142857143,231.19214849083798,1408.049291347981,945.6649943663049,35.857142857142854,8.414839499926531,44.27198235706938,27.442303357216325
66734,2020-04-22 00:00:00+00:00,India,1383,19984,50,1220.7142857142858,237.89263284495578,1458.6069185592416,982.82165286933,37.57142857142857,9.997618764104827,47.5690473355334,27.57380980732374
66735,2020-04-23 00:00:00+00:00,India,1409,21393,41,1287.5714285714287,210.34880329495402,1497.9202318663827,1077.2226252764747,38.142857142857146,10.073539123673985,48.216396266531135,28.06931801918316
66736,2020-04-24 00:00:00+00:00,India,1684,23077,37,1384.2857142857142,215.42184529098168,1599.707559576696,1168.8638689947325,40.142857142857146,7.6687367805606526,47.811593923417796,32.474120362296496
66737,2020-04-25 00:00:00+00:00,India,1429,24506,57,1446.857142857143,128.03570930464312,1574.892852161786,1318.8214335524997,42.142857142857146,10.00714030794298,52.14999745080013,32.13571683491416
66738,2020-04-26 00:00:00+00:00,India,1990,26496,49,1540.5714285714287,230.63308315941853,1771.2045117308471,1309.9383454120102,45.285714285714285,7.631388814501276,52.91710310021556,37.654325471213006
66739,2020-04-27 00:00:00+00:00,India,1396,27892,48,1518.142857142857,236.77515957227524,1754.9180167151324,1281.3676975705819,47.0,6.454972243679022,53.45497224367902,40.54502775632098
66740,2020-04-28 00:00:00+00:00,India,1543,29435,62,1547.7142857142858,222.74627889575385,1770.4605646100397,1324.9680068185319,49.142857142857146,8.591246929842239,57.73410407269938,40.55161021301491
66741,2020-04-29 00:00:00+00:00,India,1897,31332,73,1621.142857142857,243.1812962732599,1864.324153416117,1377.9615608695972,52.42857142857143,12.488089563755569,64.916660992327,39.940481864815865
