,Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MSTD_cases,OTG_cases,UTG_cases,MA_d,MSTD_deaths,OTG_deaths,UTG_deaths
144220,2021-10-02 00:00:00+00:00,Sweden,768,1153594,5,768.0,,,,5.0,,,
144221,2021-10-03 00:00:00+00:00,Sweden,702,1154296,5,735.0,46.66904755831214,781.6690475583122,688.3309524416878,5.0,0.0,5.0,5.0
144222,2021-10-04 00:00:00+00:00,Sweden,2,1154298,6,490.6666666666667,424.48242994655664,915.1490966132233,66.18423672011005,5.333333333333333,0.5773502691896257,5.910683602522958,4.755983064143708
144224,2021-10-06 00:00:00+00:00,Sweden,1192,1155490,5,666.0,493.0422564716605,1159.0422564716605,172.9577435283395,5.25,0.4999999999999999,5.75,4.75
144225,2021-10-07 00:00:00+00:00,Sweden,738,1156228,6,680.4,428.19948622108365,1108.5994862210837,252.20051377891633,5.4,0.5477225575051661,5.947722557505166,4.8522774424948345
144226,2021-10-08 00:00:00+00:00,Sweden,843,1157071,11,707.5,388.70335733049694,1096.203357330497,318.79664266950306,6.333333333333333,2.338090388900024,8.671423722233357,3.995242944433309
144227,2021-10-09 00:00:00+00:00,Sweden,742,1157813,8,712.4285714285714,355.07551175435776,1067.5040831829292,357.3530596742137,6.571428571428571,2.225394561056747,8.796823132485319,4.346034010371824
144228,2021-10-10 00:00:00+00:00,Sweden,600,1158413,8,688.4285714285714,356.36865609592974,1044.797227524501,332.0599153326417,7.0,2.1602468994692865,9.160246899469286,4.8397531005307135
144229,2021-10-11 00:00:00+00:00,Sweden,16,1158429,6,590.4285714285714,437.17649263688196,1027.6050640654535,153.25207879168948,7.142857142857143,2.035400978396429,9.178258121253572,5.107456164460714
144230,2021-10-12 00:00:00+00:00,Sweden,9,1158438,5,591.4285714285714,435.6113930033117,1027.0399644318832,155.81717842525973,7.0,2.1602468994692865,9.160246899469286,4.8397531005307135
144231,2021-10-13 00:00:00+00:00,Sweden,1122,1159560,5,581.4285714285714,420.0523210041249,1001.4808924326964,161.37625042444654,7.0,2.1602468994692865,9.160246899469286,4.8397531005307135
144232,2021-10-14 00:00:00+00:00,Sweden,905,1160465,4,605.2857142857143,434.90677709355685,1040.1924913792711,170.37893719215748,6.714285714285714,2.4299715851758235,9.144257299461538,4.284314129109891
144233,2021-10-15 00:00:00+00:00,Sweden,796,1161261,7,598.5714285714286,430.97016800967293,1029.5415965811014,167.60126056175562,6.142857142857143,1.5735915849388864,7.716448727796029,4.569265557918257
144234,2021-10-16 00:00:00+00:00,Sweden,668,1161929,4,588.0,427.76122623102094,1015.7612262310209,160.23877376897906,5.571428571428571,1.5118578920369097,7.08328646346548,4.059570679391662
