date,Belegte Betten,COVID-19-Fälle
2021-05-01 10:15:00+00:00,20841,4998
2021-05-02 10:15:00+00:00,20526,5018
2021-05-03 10:15:00+00:00,20667,4997
2021-05-04 10:15:00+00:00,21001,4945
2021-05-05 10:15:00+00:00,21124,4829
2021-05-06 10:15:00+00:00,20948,4756
2021-05-07 10:15:00+00:00,20951,4662
2021-05-08 10:15:00+00:00,20506,4596
2021-05-09 10:15:00+00:00,20146,4569
2021-05-10 10:15:00+00:00,20510,4571
2021-05-11 10:15:00+00:00,20820,4449
2021-05-12 10:15:00+00:00,20905,4361
2021-05-13 10:15:00+00:00,20513,4244
2021-05-14 10:15:00+00:00,20085,4172
2021-05-15 10:15:00+00:00,20045,4084
2021-05-16 10:15:00+00:00,19774,4054
2021-05-17 10:15:00+00:00,20008,4002
2021-05-18 10:15:00+00:00,20449,3864
2021-05-19 10:15:00+00:00,20527,3693
2021-05-20 10:15:00+00:00,20462,3579
2021-05-21 10:15:00+00:00,20359,3460
2021-05-22 10:15:00+00:00,20010,3344
2021-05-23 10:15:00+00:00,19484,3291
2021-05-24 10:15:00+00:00,19346,3222
2021-05-25 10:15:00+00:00,19591,3165
2021-05-26 10:15:00+00:00,20041,2990
2021-05-27 10:15:00+00:00,19999,2826
2021-05-28 10:15:00+00:00,19825,2696
2021-05-29 10:15:00+00:00,19480,2589
2021-05-30 10:15:00+00:00,19133,2512
2021-05-31 10:15:00+00:00,19371,2446
2021-06-01 10:15:00+00:00,19897,2285
2021-06-02 10:15:00+00:00,19908,2144
2021-06-03 10:15:00+00:00,19736,2029
2021-06-04 10:15:00+00:00,19516,1962
2021-06-05 10:15:00+00:00,19360,1889
2021-06-06 10:15:00+00:00,19040,1846
2021-06-07 10:15:00+00:00,19178,1789
2021-06-08 10:15:00+00:00,19721,1693
2021-06-09 10:15:00+00:00,19877,1591
2021-06-10 10:15:00+00:00,19819,1499
2021-06-11 10:15:00+00:00,19728,1413
2021-06-12 10:15:00+00:00,19498,1336
2021-06-13 10:15:00+00:00,19043,1329
2021-06-14 10:15:00+00:00,19288,1273
2021-06-15 10:15:00+00:00,19676,1202
2021-06-16 10:15:00+00:00,19735,1130
2021-06-17 10:15:00+00:00,19680,1065
2021-06-18 10:15:00+00:00,19738,1006
2021-06-19 10:15:00+00:00,19404,961
2021-06-20 10:15:00+00:00,18967,927
2021-06-21 10:15:00+00:00,19268,885
2021-06-22 10:15:00+00:00,19735,845
2021-06-23 10:15:00+00:00,19846,807
2021-06-24 10:15:00+00:00,19736,776
2021-06-25 10:15:00+00:00,19689,731
2021-06-26 10:15:00+00:00,19238,712
2021-06-27 10:15:00+00:00,18893,701
2021-06-28 10:15:00+00:00,19075,683
2021-06-29 10:15:00+00:00,19542,660
2021-06-30 10:15:00+00:00,19589,611
2021-07-01 10:15:00+00:00,19407,588
2021-07-02 10:15:00+00:00,19284,563
2021-07-03 10:15:00+00:00,18878,546
2021-07-04 10:15:00+00:00,18570,545
2021-07-05 10:15:00+00:00,18750,524
2021-07-06 10:15:00+00:00,19242,506
2021-07-07 10:15:00+00:00,19366,482
2021-07-08 10:15:00+00:00,19285,467
2021-07-09 10:15:00+00:00,19268,450
2021-07-10 10:15:00+00:00,18814,433
2021-07-11 10:15:00+00:00,18405,430
2021-07-12 10:15:00+00:00,18599,433
2021-07-13 10:15:00+00:00,19156,404
2021-07-14 10:15:00+00:00,19260,394
2021-07-15 10:15:00+00:00,19253,393
2021-07-16 10:15:00+00:00,19090,376
2021-07-17 10:15:00+00:00,18777,369
2021-07-18 10:15:00+00:00,18372,369
2021-07-19 10:15:00+00:00,18575,363
2021-07-20 10:15:00+00:00,19100,357
2021-07-21 10:15:00+00:00,19138,353
2021-07-22 10:15:00+00:00,19021,350
2021-07-23 10:15:00+00:00,19031,353
2021-07-24 10:15:00+00:00,18749,351
2021-07-25 10:15:00+00:00,18361,367
2021-07-26 10:15:00+00:00,18582,365
2021-07-27 10:15:00+00:00,19009,367
2021-07-28 10:15:00+00:00,19218,352
2021-07-29 10:15:00+00:00,19175,344
2021-07-30 10:15:00+00:00,19026,349
2021-07-31 10:15:00+00:00,18722,357
2021-08-01 10:15:00+00:00,18342,360
2021-08-02 10:15:00+00:00,18427,374
2021-08-03 10:15:00+00:00,18904,375
2021-08-04 10:15:00+00:00,18990,389
2021-08-05 10:15:00+00:00,18938,384
2021-08-06 10:15:00+00:00,19022,390
2021-08-07 10:15:00+00:00,18772,410
2021-08-08 10:15:00+00:00,18463,429
2021-08-09 10:15:00+00:00,18535,451
2021-08-10 10:15:00+00:00,18860,438
2021-08-11 10:15:00+00:00,19013,450
2021-08-12 10:15:00+00:00,18929,468
2021-08-13 10:15:00+00:00,18982,476
2021-08-14 10:15:00+00:00,18683,484
2021-08-15 10:15:00+00:00,18373,512
2021-08-16 10:15:00+00:00,18591,541
2021-08-17 10:15:00+00:00,18805,571
2021-08-18 10:15:00+00:00,18922,594
2021-08-19 10:15:00+00:00,18943,617
2021-08-20 10:15:00+00:00,18966,647
2021-08-21 10:15:00+00:00,18550,677
2021-08-22 10:15:00+00:00,18218,707
2021-08-23 10:15:00+00:00,18468,770
2021-08-24 10:15:00+00:00,18907,800
2021-08-25 10:15:00+00:00,18891,832
2021-08-26 10:15:00+00:00,18994,863
2021-08-27 10:15:00+00:00,18930,919
2021-08-28 10:15:00+00:00,18573,965
2021-08-29 10:15:00+00:00,18298,1003
2021-08-30 10:15:00+00:00,18493,1061
2021-08-31 10:15:00+00:00,18893,1090
2021-09-01 10:15:00+00:00,19135,1128
