Date_reported,Country,New_cases,Cumulative_cases,New_deaths,MA,MA_deaths,MSTD_cases,MSTD_deaths,OTG_cases,UTG_cases,OTG_deaths,UTG_deaths
2020-11-13 00:00:00+00:00,The United Kingdom,33470,1290199,563,23856.85714285714,401.14285714285717,4540.77116903407,176.150909328157,28397.62831189121,19316.085973823072,577.2937664710141,224.99194781470015
2020-11-14 00:00:00+00:00,The United Kingdom,27301,1317500,376,24430.285714285714,404.14285714285717,4707.215337978759,175.41135327320353,29137.501052264473,19723.070376306954,579.5542104160606,228.73150386965364
2020-11-15 00:00:00+00:00,The United Kingdom,26860,1344360,462,24702.14285714286,411.14285714285717,4796.804437282289,176.7959544893585,29498.947294425147,19905.33841986057,587.9388116322157,234.34690265349866
2020-11-16 00:00:00+00:00,The United Kingdom,24962,1369322,168,25329.285714285714,412.85714285714283,4440.575890366305,173.94484621225007,29769.86160465202,20888.70982391941,586.8019890693929,238.91229664489276
2020-11-17 00:00:00+00:00,The United Kingdom,21363,1390685,213,25331.14285714286,415.57142857142856,4438.636593542107,170.06553358714262,29769.779450684968,20892.50626360075,585.6369621585711,245.50589498428593
2020-11-18 00:00:00+00:00,The United Kingdom,20051,1410736,598,25279.571428571428,425.0,4506.8890548124455,179.18147225646373,29786.460483383875,20772.68237375898,604.1814722564637,245.81852774353627
2020-11-19 00:00:00+00:00,The United Kingdom,19609,1430345,529,24802.285714285714,415.57142857142856,4949.851166594389,170.25946585808245,29752.1368808801,19852.434547691326,585.830894429511,245.3119627133461
2020-11-20 00:00:00+00:00,The United Kingdom,22915,1453260,501,23294.428571428572,406.7142857142857,3149.6905592541684,162.75924375765942,26444.119130682742,20144.738012174403,569.4735294719451,243.9550419566263
2020-11-21 00:00:00+00:00,The United Kingdom,20252,1473512,511,22287.428571428572,426.0,2757.677697941056,166.46921637346014,25045.10626936963,19529.750873487515,592.4692163734601,259.53078362653986
2020-11-22 00:00:00+00:00,The United Kingdom,19875,1493387,340,21289.571428571428,408.57142857142856,1982.0060424701344,168.44668507952153,23271.57747104156,19307.565386101294,577.0181136509501,240.12474349190703
2020-11-23 00:00:00+00:00,The United Kingdom,18662,1512049,125,20389.571428571428,402.42857142857144,1373.4074240326863,179.12738218266017,21762.978852604116,19016.16400453874,581.5559536112316,223.30118924591127
2020-11-24 00:00:00+00:00,The United Kingdom,15450,1527499,479,19544.85714285714,440.42857142857144,2227.6480443577566,159.3694420132449,21772.505187214898,17317.209098499385,599.7980134418164,281.05912941532654
2020-11-25 00:00:00+00:00,The United Kingdom,11299,1538798,608,18294.571428571428,441.85714285714283,3798.464025417123,161.05322988731658,22093.035453988552,14496.107403154305,602.9103727444594,280.80391296982623
2020-11-26 00:00:00+00:00,The United Kingdom,18213,1557011,695,18095.14285714286,465.57142857142856,3754.3419942156183,186.27028492922102,21849.484851358477,14340.80086292724,651.8417135006496,279.30114364220753
2020-11-27 00:00:00+00:00,The United Kingdom,17555,1574566,498,17329.428571428572,465.14285714285717,3096.4228208888667,186.1786136764111,20425.85139231744,14233.005750539705,651.3214708192683,278.9642434664461
