Date,PC,Laufzeit_in_s
2020-12-24 02:05:12 PM,DOUG,2.92
2020-12-24 02:05:54 PM,DOUG,4.32
2020-12-24 03:04:49 PM,DOUG,4.31
2020-12-24 03:08:32 PM,DOUG,4.27
2020-12-24 03:09:04 PM,DOUG,4.09
2020-12-24 03:11:30 PM,DOUG,4.29
2020-12-24 11:11:04 PM,DOUG,8.58
2020-12-24 11:11:21 PM,DOUG,4.15
2020-12-24 11:17:15 PM,DOUG,3.38
2020-12-24 11:17:40 PM,DOUG,3.66
2020-12-26 12:47:49 AM,DOUG,2.56
2020-12-26 02:14:38 AM,DOUG,3.99
2020-12-26 02:23:16 AM,DOUG,3.98
2020-12-26 03:15:15 AM,DOUG,2.51
2020-12-26 03:18:15 AM,DOUG,2.95
2020-12-26 03:51:03 AM,DOUG,3.46
2020-12-26 03:54:12 AM,DOUG,3.32
2020-12-26 03:59:11 AM,DOUG,4.09
2020-12-26 04:15:28 AM,DOUG,2.77
2020-12-26 04:41:02 AM,DOUG,3.62
2020-12-26 05:47:17 PM,DOUG,3.37
2020-12-26 07:04:08 PM,DOUG,3.83
2020-12-27 07:47:36 PM,DOUG,3.3
2020-12-27 08:22:45 PM,DOUG,4.79
2020-12-27 08:44:00 PM,DOUG,3.24
2020-12-28 02:16:38 PM,DOUG,3.67
2020-12-28 02:17:13 PM,DOUG,5.9
2020-12-28 11:38:21 PM,DOUG,5.89
2020-12-29 09:25:09 AM,DOUG,4.59
2020-12-29 09:40:18 AM,DOUG,6.03
